customer_id,salary_deposits,total_expenses,month
7460,14851,1946,Jan
4914,13595,4466,Dec
4952,12738,10599,Mar
3774,11168,11059,Mar
3329,8466,10797,Nov
3794,11806,4868,Jun
3962,11776,5817,Apr
7693,7463,7746,Apr
4411,7490,3529,Jan
4138,6061,8732,Dec
7667,14843,13525,Oct
4569,9604,6392,Dec
7473,3270,7690,Nov
6275,2218,5304,Apr
6274,2533,6879,Jan
6470,9951,8817,May
4964,11687,1277,Mar
5166,11565,9527,Oct
7637,14331,9570,May
6573,5823,4989,Mar
4876,14141,13615,May
4237,2064,6770,Apr
5747,6341,7781,Sep
7209,7082,9528,Jun
7469,13334,9216,Dec
5347,11916,9943,Oct
4043,12397,8188,Feb
7872,4985,4741,Jan
7767,7594,7830,Jan
7107,5913,9426,Jan
3008,11240,7371,Sep
6697,10017,668,May
6732,13846,9840,Apr
4574,13064,8991,Oct
3461,6255,12013,May
6307,3004,5533,Sep
5303,4122,1021,Mar
5634,14766,9309,Mar
4352,8696,13756,Dec
3362,5981,12276,Feb
3788,14674,10409,Aug
3209,2471,13293,Jul
3267,5405,8993,Feb
7752,2308,9344,Apr
3554,9695,3801,Jul
4588,13126,4659,Jan
7517,14988,11329,Jan
4119,9707,2779,Aug
4514,5047,10314,Jun
4927,12113,13106,Feb
6404,13191,2181,Oct
6062,4017,13616,Oct
3221,6881,591,Jan
5345,3478,4206,Mar
4972,12544,1460,Dec
7439,6197,4659,Apr
7689,9721,1343,May
7065,6870,718,Nov
4985,5459,9395,Oct
3892,13946,13406,Mar
7803,11423,6528,May
6527,7434,746,Dec
4206,13312,13751,Jul
7853,2571,12729,Nov
4219,5589,5609,Sep
4856,10339,8748,May
5000,7918,13856,Apr
5436,13635,12651,Oct
5975,2596,13897,Nov
6099,7073,6624,Sep
6387,3070,13849,Aug
7544,13937,6825,May
4817,6250,6807,Sep
4778,6325,13544,Nov
5505,5371,10550,Sep
5940,2157,2412,Jan
3839,11114,4721,Dec
5702,5318,7874,Jun
7760,8711,766,Nov
7861,12538,3982,May
6139,14242,10372,Jun
3176,9221,11885,Oct
7606,11438,2031,Mar
6687,10957,10698,Mar
6163,13843,13397,Oct
5753,4612,5064,May
4190,6562,13588,Jul
7698,14020,4728,Apr
3838,14773,12142,Jun
6899,2443,7655,May
6852,7973,9711,Feb
5734,2904,817,Nov
6811,4910,10292,Dec
5654,13401,1210,Jan
6251,3801,11888,Jun
6350,2925,9142,May
6311,13913,10573,Sep
7681,14579,2243,Dec
5387,9851,1823,Jul
3374,7930,12252,Jan
7676,10943,3180,Oct
7613,11426,4737,Jun
4262,4922,3551,Nov
3121,10854,5164,Jul
6846,9555,11043,Mar
5885,13387,3204,Sep
5618,11776,6175,Nov
7139,2919,7287,Nov
6269,7004,3140,Feb
5043,6219,12817,Jan
5120,10259,12140,Oct
3491,6570,7876,Oct
7845,6453,8638,Dec
6046,11958,5862,Sep
3383,7575,1194,Jul
3805,3953,4753,Oct
4178,4568,10885,Nov
5218,9945,9031,Jan
4296,5708,2268,Apr
3918,6928,8783,Oct
7247,12863,13116,Mar
7527,5399,671,Nov
5415,11545,3249,Jul
3651,8570,3602,May
7916,2442,1120,Sep
5287,2600,5714,Nov
5752,13358,9680,Mar
6199,14134,576,Nov
3942,13001,2698,Jun
3541,13580,4737,Oct
5681,6582,8922,Feb
6728,4786,6527,Mar
5530,4695,13741,Apr
4203,13840,10867,Jun
7965,4052,11599,Nov
3651,2631,6355,Jan
6007,5442,3044,Jun
7533,3754,12304,Apr
5905,9020,3357,Aug
3314,13225,2053,Sep
7115,11770,6774,Aug
4184,2025,13056,Aug
7914,9946,11357,Feb
3122,12401,4240,Oct
3169,9297,9653,Feb
6683,8553,2127,Jun
7725,7759,10659,May
7122,9755,12023,Jun
6969,13094,1574,Sep
7018,3129,3704,Dec
6698,6996,1528,Oct
4730,14296,1147,Jul
6556,6145,13525,May
4119,7641,5803,Oct
5169,10633,3662,Jul
7222,7897,13607,Aug
7782,9369,1402,Nov
6117,5895,4567,Dec
7731,6797,10195,Jan
5430,3828,5576,Oct
5008,11727,11554,Nov
4051,14517,13170,Nov
3705,2559,3397,Jul
5900,11365,10037,Apr
6208,12070,6062,May
3707,12447,8673,Feb
6833,11276,9181,Oct
5009,5914,5752,May
7722,10430,8351,Sep
7622,10050,9117,Jan
4598,13106,7728,Mar
4067,12287,6181,Apr
4947,11663,6095,Sep
5800,8900,7890,Feb
3096,7587,11423,Jul
5075,7412,4491,Sep
7932,12237,10099,Dec
4919,6612,6962,Oct
4266,5683,13807,Apr
5535,10396,6868,May
3240,9347,9114,Dec
4328,5600,11647,Dec
4143,12329,9906,Dec
6224,8643,4442,Oct
6849,3213,2300,Apr
4416,9347,13642,Dec
5399,14026,13152,Jul
3761,5091,10761,Aug
6643,3382,13335,Aug
4553,5680,2877,Mar
3863,11871,7823,Feb
7036,10198,2603,Jun
4156,12077,1771,Dec
3357,5498,5520,Jan
4672,10487,13048,Dec
4329,7506,12535,Sep
4030,10455,934,Jul
5377,4137,4098,Aug
6242,9655,12241,Jul
4992,10124,4271,May
6872,6948,9226,May
5386,5865,9072,Jul
6141,7460,2650,Jul
3882,7448,4624,Feb
3539,6496,12617,Feb
7833,6452,6102,Jul
4858,8898,11820,May
6558,4546,5667,Feb
7539,6929,5986,Jan
5197,14722,4549,Sep
4951,10310,1046,Nov
4611,9214,12308,Aug
6164,4395,4922,Feb
7464,9671,10443,Feb
7008,13559,5324,Mar
7676,7514,3615,Apr
7752,3702,718,Sep
3227,10721,625,Dec
3592,5674,13669,Jun
7120,10494,13106,Mar
5076,14259,10020,Aug
7949,6251,9915,Jun
5672,14160,4680,Aug
4369,2013,5660,Oct
5023,9187,3270,Dec
5079,4803,10266,Feb
6951,2888,2442,Aug
6882,13720,12032,Nov
6322,11388,4957,May
7146,6540,11106,Oct
5437,10090,13992,Dec
4805,4169,1754,Apr
6360,13760,1487,Mar
4731,12423,7737,Dec
6663,12035,10540,Sep
5974,5651,8611,Oct
4030,14068,8455,Jul
3412,10017,5853,Jul
4982,12910,12593,Jun
3662,10240,13618,Sep
4348,2180,12411,Mar
6471,5878,10009,Jan
4306,11609,1871,Jul
7287,5464,13663,Sep
5834,13611,860,Jun
7681,2529,8604,Oct
4854,7771,9049,Feb
7596,6679,11893,Aug
7676,9940,8284,Sep
3816,3286,8588,Oct
6506,4190,12582,Aug
4477,10898,8229,Sep
6514,13409,3283,Jan
5038,10485,563,Mar
4331,3561,2728,Mar
7876,7628,11326,Sep
6807,14709,4349,Mar
4150,4611,6832,Oct
3007,8560,4438,Jan
4437,2660,2015,Mar
6251,5178,9271,Feb
6540,5389,6813,Sep
3695,12298,13109,Jan
5966,5063,13983,Nov
6300,8401,11023,Feb
7844,10127,8286,Jan
7242,4840,11105,Sep
6368,13688,2658,Jul
7953,12770,2625,Jan
7383,8309,12461,Oct
3026,9192,6896,Dec
7548,8054,2783,Jun
5154,12243,6736,May
7336,8146,8309,Oct
6490,8561,12458,Nov
3332,12601,3605,May
3645,13145,4052,Apr
4853,10560,3975,Mar
7131,2538,2338,Aug
5924,4927,8913,Jul
5432,4393,8553,May
6585,10922,1395,Dec
6810,2896,6109,Sep
3811,8867,6413,Dec
4312,14851,3911,Jul
5796,8345,3508,Oct
4895,4368,9676,Feb
6007,6559,10324,Jul
7301,9747,4170,Jul
5071,12872,3390,Apr
5657,4380,10735,Dec
7135,2014,6785,Dec
7269,13320,1908,Aug
7856,11545,4372,Apr
6485,5135,5177,Jul
3414,4277,10027,Apr
3692,10202,7946,Aug
5663,3656,12329,Mar
7118,11439,6989,Feb
5699,3660,3958,Oct
7310,3763,4897,Jun
3920,10733,6383,Jul
3907,3529,8588,Jul
6211,9865,7906,Jun
6729,7838,4100,Nov
5720,8910,7571,Aug
6667,11372,5968,Dec
7896,12880,13578,Jun
5365,4617,5507,Jun
3793,4754,10067,Mar
3576,11120,6797,Dec
4728,10101,10225,Feb
6228,3426,10644,Jul
6572,10067,11949,Jun
7187,13851,11683,Jan
6726,7208,5190,Feb
7857,12425,6186,Feb
6367,14101,3996,Jan
7866,8222,12849,Mar
4361,9808,3972,May
5049,4061,11609,Apr
5976,14289,7726,Dec
6197,4563,9857,Feb
4088,4803,5061,Aug
3206,8209,13960,Sep
6487,4293,8114,Aug
6316,3625,2858,Jul
3623,7809,11930,Oct
4678,2571,13603,Feb
6288,9399,10842,Jun
6013,14723,10767,Nov
6013,4400,12359,Apr
6638,11903,13295,May
5701,10574,10873,Sep
4872,7829,8750,Sep
3079,3083,7757,Apr
4477,3949,6713,Aug
7735,12709,10650,Nov
6229,7530,8876,May
5336,7202,8105,Sep
4726,14361,3119,Feb
4115,7430,10372,Apr
3161,5497,1077,Mar
4426,7496,12646,Jul
4734,13506,5743,Feb
7416,6930,12969,Mar
5412,12867,8762,Sep
6961,5394,1055,Aug
5523,11395,1351,Feb
7862,2773,9910,Jun
3602,13248,4140,Mar
5360,9793,13868,Dec
4556,12505,2412,Jun
7685,4597,3230,May
4521,11595,5919,Oct
5391,14364,2865,Apr
3906,9981,8038,Dec
4651,5061,13616,Jul
4118,5325,766,Nov
4525,3403,4416,Oct
7268,5320,7828,Jul
7722,9239,13401,Apr
6081,8649,10092,Mar
7778,9420,13365,Apr
6241,9139,12385,Feb
7407,2869,13419,Apr
6802,8442,2826,Apr
4936,11275,3301,Dec
6628,2973,6052,May
7381,11417,2534,Jan
6710,11994,11522,Feb
5543,13156,7953,Aug
7451,3188,1484,Aug
3200,7147,4599,Aug
5184,5443,6963,May
5676,14126,13819,Aug
7037,14601,1575,Sep
6494,7684,1523,Apr
6973,3321,13953,Apr
4365,4023,4397,Jul
4853,8740,13566,May
7438,7468,7470,Nov
6602,14923,8971,Oct
3388,14704,1611,Jan
7100,2438,9875,Aug
7773,2164,5580,Apr
4663,7678,8481,Aug
5459,9835,2575,Feb
3213,5337,12291,Dec
7656,5350,13597,Dec
3558,2987,4442,Apr
5606,4529,771,Feb
6120,6612,9815,May
6704,14369,12671,Oct
5692,14406,9919,Oct
4995,5845,689,Aug
3475,7756,9237,Nov
4768,10105,11033,Jul
3042,3326,12658,Nov
5652,13478,4514,May
5096,10219,8642,Nov
6993,12216,5443,Jul
4987,8924,5366,May
6866,6593,1268,Jul
6658,8662,12467,Apr
7824,2193,11423,Apr
6518,10783,5666,Oct
5269,4489,9702,Apr
4645,12049,8089,Nov
3940,8401,5298,Aug
7439,10304,964,Jan
6310,11509,3100,Oct
5986,3737,1416,May
7937,4061,10144,Dec
5028,11882,6626,Oct
6128,13860,7651,Feb
7990,8283,12160,Oct
7134,11586,12981,Apr
4365,13360,565,May
3851,8840,11294,Aug
3231,5559,10417,Feb
5500,7461,13388,Feb
5305,9599,10191,Feb
5482,12428,2404,Aug
7305,5883,7693,Dec
6712,5251,5071,Mar
5904,7053,7216,May
6466,14124,12656,Feb
5769,5014,11501,Jun
5893,13678,12782,Oct
5084,3128,9578,Jun
4239,8865,7473,Feb
5075,8472,4308,Apr
5066,9416,12869,Nov
3630,3696,8065,Feb
6209,10324,8361,Oct
7675,9407,2460,Apr
3903,9245,3247,Nov
4054,6665,543,Jul
3123,6220,4342,May
3957,13731,5205,Oct
3987,9574,2388,Apr
4252,13180,4398,Oct
7434,8170,12584,Oct
3991,14494,6383,Mar
5321,13485,9411,Jun
3902,2311,1190,Feb
5087,12621,10637,Apr
6993,11977,7342,Dec
7522,7434,8801,Aug
7710,14583,13006,Feb
6581,2401,5058,Sep
5803,7554,9206,Feb
5205,3596,8220,Aug
3872,2121,9328,Aug
5825,2750,3828,Jul
5903,2105,5812,Oct
7731,8934,1126,Jun
5504,11251,569,Jan
6404,14359,11198,Feb
5192,14855,8049,Jul
6883,5238,12581,Nov
7583,3244,6113,Apr
6208,10267,12491,Sep
6659,8865,10542,Mar
6098,11201,4819,Apr
6079,5282,6461,Mar
5639,4275,11570,Jul
6087,5808,12044,Feb
5947,10644,4477,Oct
6472,2765,8000,Dec
7303,6582,8559,Dec
4625,4715,7284,Feb
5958,3497,2134,Feb
6288,14138,12168,Dec
4526,13924,3043,Apr
4483,4838,7853,Aug
3259,8036,13849,Aug
3454,7066,1268,Aug
3799,2489,6264,Aug
7471,12615,3103,Jul
5512,8374,1491,Jun
7171,3935,10420,Dec
3242,4749,10720,Jul
4713,13488,10221,May
7219,14762,988,Aug
5003,13883,8679,Feb
6328,11295,4652,May
5282,9812,1011,Jul
3497,11791,12011,Sep
6112,13473,10843,Oct
3727,9464,11296,Jan
4832,9777,10799,Nov
4822,13352,6197,Sep
4817,14137,1234,Mar
3092,10417,6178,Jan
6433,8286,3809,Jul
4970,14995,9062,Mar
5385,11906,10765,Aug
6680,6149,5201,Nov
7609,12435,12897,Feb
3603,7848,13560,Apr
3428,9656,10993,Dec
5020,13084,10522,Feb
4457,4345,2359,Nov
3007,7549,8219,Apr
5435,8680,1416,Dec
4374,10770,7409,Jan
3641,3698,7764,Oct
6763,14787,7181,May
7006,12863,11867,Mar
5231,8984,3162,Sep
7661,14493,11326,Apr
6812,8037,5192,Jun
6307,13119,9929,Sep
3446,7256,10852,Feb
6942,8551,1835,Jul
7296,2278,11308,Mar
5996,3468,5550,Jan
3513,14964,11635,Sep
3990,11132,13912,Sep
4402,4318,1261,Dec
4813,6536,12410,Nov
3546,7347,13725,Apr
5534,7939,11392,Sep
5010,3783,2631,Jul
6433,12067,5314,Apr
7086,8630,10645,Dec
5216,14835,9640,Feb
7986,5226,801,May
6666,13920,12716,Aug
3828,11177,8240,Oct
5185,4819,11280,Oct
5163,5970,4194,Jun
4276,12258,3201,Dec
4517,2424,10167,Dec
4313,4105,9305,Nov
6524,4470,6714,May
3516,7894,6144,Apr
7784,5794,6020,Nov
4020,4891,1168,Jun
