transaction_id,amount,transaction_type,merchant_category,time_of_day
2065,2814,POS,Clothing,Evening
2066,1236,Online,Dining,Evening
2067,1294,Bank Transfer,Travel,Morning
2068,699,ATM Withdrawal,Travel,Morning
2069,4792,POS,Clothing,Afternoon
2070,4891,POS,Electronics,Afternoon
2071,4445,Bank Transfer,Clothing,Evening
2072,4517,POS,Electronics,Morning
2073,2006,POS,Clothing,Morning
2074,4391,Online,Electronics,Night
2075,1119,Online,Electronics,Night
2076,4955,Bank Transfer,Cash,Evening
2077,439,POS,Cash,Evening
2078,4136,ATM Withdrawal,Electronics,Evening
2079,3791,Online,Electronics,Evening
2080,612,ATM Withdrawal,Groceries,Morning
2081,449,ATM Withdrawal,Electronics,Evening
2082,994,Bank Transfer,Cash,Evening
2083,1928,Bank Transfer,Electronics,Morning
2084,4517,POS,Travel,Night
2085,537,Bank Transfer,Groceries,Evening
2086,4415,Online,Electronics,Night
2087,3006,POS,Cash,Morning
2088,3477,POS,Cash,Night
2089,1371,ATM Withdrawal,Dining,Morning
2090,713,ATM Withdrawal,Cash,Evening
2091,672,ATM Withdrawal,Groceries,Night
2092,374,POS,Cash,Evening
2093,932,Bank Transfer,Travel,Afternoon
2094,3866,Bank Transfer,Clothing,Afternoon
2095,185,Bank Transfer,Travel,Night
2096,945,POS,Travel,Morning
2097,391,POS,Groceries,Night
2098,315,POS,Groceries,Morning
2099,4707,POS,Dining,Afternoon
2100,2400,POS,Cash,Morning
2101,2213,Bank Transfer,Dining,Afternoon
2102,4817,POS,Groceries,Night
2103,1475,Bank Transfer,Cash,Evening
2104,3281,POS,Groceries,Evening
2105,412,Bank Transfer,Groceries,Evening
2106,4719,Online,Clothing,Morning
2107,2680,Online,Travel,Evening
2108,1811,Bank Transfer,Dining,Morning
2109,2660,Online,Dining,Evening
2110,186,Online,Electronics,Morning
2111,4554,Bank Transfer,Clothing,Morning
2112,752,POS,Groceries,Afternoon
2113,2358,POS,Groceries,Afternoon
2114,4412,Bank Transfer,Clothing,Night
2115,760,ATM Withdrawal,Cash,Afternoon
2116,878,ATM Withdrawal,Dining,Morning
2117,4072,Online,Groceries,Afternoon
2118,3977,ATM Withdrawal,Electronics,Afternoon
2119,223,Online,Dining,Afternoon
2120,1627,POS,Travel,Morning
2121,2540,Bank Transfer,Clothing,Morning
2122,3343,POS,Dining,Night
2123,1607,Bank Transfer,Travel,Afternoon
2124,521,ATM Withdrawal,Electronics,Afternoon
2125,262,POS,Cash,Morning
2126,4143,POS,Clothing,Night
2127,638,Online,Cash,Night
2128,3486,Bank Transfer,Groceries,Morning
2129,996,ATM Withdrawal,Cash,Afternoon
2130,1735,POS,Groceries,Night
2131,2103,Bank Transfer,Travel,Night
2132,1711,ATM Withdrawal,Dining,Afternoon
2133,314,POS,Electronics,Night
2134,4088,Bank Transfer,Travel,Afternoon
2135,2290,Online,Electronics,Night
2136,4350,POS,Cash,Night
2137,2817,Bank Transfer,Electronics,Morning
2138,2896,ATM Withdrawal,Cash,Night
2139,3464,ATM Withdrawal,Electronics,Afternoon
2140,1034,Online,Clothing,Night
2141,4322,POS,Travel,Morning
2142,2985,Online,Clothing,Night
2143,516,Bank Transfer,Dining,Evening
2144,4866,ATM Withdrawal,Dining,Afternoon
2145,2961,Online,Groceries,Evening
2146,1063,POS,Groceries,Morning
2147,2684,Bank Transfer,Groceries,Evening
2148,2577,POS,Dining,Night
2149,1914,Online,Electronics,Afternoon
2150,4380,ATM Withdrawal,Cash,Evening
2151,4597,ATM Withdrawal,Electronics,Night
2152,4932,Online,Travel,Evening
2153,2904,POS,Dining,Night
2154,1110,POS,Cash,Night
2155,3671,POS,Cash,Evening
2156,1646,POS,Cash,Morning
2157,1465,ATM Withdrawal,Groceries,Afternoon
2158,3623,POS,Cash,Morning
2159,48,Online,Cash,Evening
2160,3094,Online,Dining,Night
2161,4249,Online,Electronics,Evening
2162,2741,Online,Electronics,Night
2163,2425,POS,Clothing,Night
2164,768,ATM Withdrawal,Clothing,Morning
2165,4352,Bank Transfer,Travel,Morning
2166,3126,POS,Dining,Evening
2167,774,Bank Transfer,Clothing,Afternoon
2168,2432,ATM Withdrawal,Clothing,Morning
2169,1324,POS,Dining,Night
2170,4312,Bank Transfer,Electronics,Evening
2171,4005,ATM Withdrawal,Travel,Evening
2172,4039,Bank Transfer,Travel,Afternoon
2173,3703,Online,Travel,Evening
2174,3195,Online,Clothing,Morning
2175,2876,ATM Withdrawal,Electronics,Night
2176,1327,ATM Withdrawal,Travel,Evening
2177,710,Bank Transfer,Dining,Evening
2178,4393,ATM Withdrawal,Travel,Night
2179,2211,Online,Groceries,Evening
2180,1603,Online,Electronics,Evening
2181,3997,POS,Groceries,Afternoon
2182,4955,Bank Transfer,Electronics,Morning
2183,4155,ATM Withdrawal,Cash,Evening
2184,1240,ATM Withdrawal,Dining,Morning
2185,2622,ATM Withdrawal,Cash,Afternoon
2186,3147,Bank Transfer,Clothing,Morning
2187,1918,Online,Clothing,Afternoon
2188,1800,ATM Withdrawal,Cash,Morning
2189,2938,ATM Withdrawal,Electronics,Morning
2190,1098,Online,Travel,Evening
2191,2391,ATM Withdrawal,Groceries,Morning
2192,4137,POS,Dining,Evening
2193,4973,Online,Travel,Evening
2194,2955,Online,Clothing,Morning
2195,3579,Online,Travel,Evening
2196,1175,POS,Cash,Morning
2197,610,Online,Cash,Night
2198,2035,Bank Transfer,Groceries,Evening
2199,1594,Bank Transfer,Clothing,Night
2200,997,Bank Transfer,Electronics,Night
2201,1975,Online,Dining,Evening
2202,1449,Online,Cash,Afternoon
2203,4625,Online,Dining,Afternoon
2204,878,POS,Clothing,Night
2205,2073,Bank Transfer,Electronics,Night
2206,1139,ATM Withdrawal,Cash,Morning
2207,4388,ATM Withdrawal,Groceries,Night
2208,4466,Online,Dining,Evening
2209,3739,POS,Clothing,Afternoon
2210,1944,Online,Dining,Afternoon
2211,1086,ATM Withdrawal,Electronics,Afternoon
2212,1649,Bank Transfer,Groceries,Evening
2213,1402,ATM Withdrawal,Electronics,Morning
2214,40,Bank Transfer,Cash,Evening
2215,713,Bank Transfer,Travel,Evening
2216,878,POS,Electronics,Afternoon
2217,242,ATM Withdrawal,Electronics,Evening
2218,960,Online,Dining,Night
2219,68,POS,Electronics,Evening
2220,2828,Bank Transfer,Clothing,Afternoon
2221,3610,ATM Withdrawal,Cash,Afternoon
2222,3159,Online,Dining,Evening
2223,311,POS,Dining,Night
2224,2860,Online,Travel,Night
2225,2954,ATM Withdrawal,Cash,Afternoon
2226,1933,Online,Clothing,Night
2227,326,POS,Cash,Night
2228,1898,Online,Electronics,Morning
2229,2725,ATM Withdrawal,Travel,Morning
2230,4795,POS,Clothing,Night
2231,1891,Bank Transfer,Travel,Night
2232,3908,POS,Cash,Morning
2233,4123,ATM Withdrawal,Groceries,Morning
2234,1188,Online,Cash,Morning
2235,3865,Bank Transfer,Electronics,Afternoon
2236,4883,Bank Transfer,Travel,Afternoon
2237,4465,Online,Groceries,Morning
2238,341,ATM Withdrawal,Electronics,Morning
2239,537,POS,Travel,Morning
2240,2069,ATM Withdrawal,Travel,Afternoon
2241,1108,Bank Transfer,Cash,Afternoon
2242,221,POS,Travel,Night
2243,1724,POS,Travel,Evening
2244,2698,Online,Dining,Night
2245,2340,ATM Withdrawal,Travel,Evening
2246,3276,POS,Cash,Evening
2247,1042,Online,Dining,Evening
2248,1342,ATM Withdrawal,Dining,Night
2249,1850,Bank Transfer,Groceries,Afternoon
2250,4696,Bank Transfer,Electronics,Afternoon
2251,2148,ATM Withdrawal,Dining,Afternoon
2252,4561,POS,Clothing,Afternoon
2253,4101,POS,Dining,Night
2254,453,Bank Transfer,Clothing,Morning
2255,4184,Bank Transfer,Groceries,Evening
2256,1508,POS,Clothing,Afternoon
2257,936,ATM Withdrawal,Groceries,Afternoon
2258,632,Bank Transfer,Groceries,Night
2259,1489,POS,Groceries,Evening
2260,3047,ATM Withdrawal,Clothing,Afternoon
2261,3395,Online,Clothing,Morning
2262,3328,ATM Withdrawal,Groceries,Afternoon
2263,243,POS,Groceries,Evening
2264,1627,ATM Withdrawal,Electronics,Morning
2265,2701,POS,Groceries,Night
2266,2040,Bank Transfer,Travel,Morning
2267,396,Online,Electronics,Evening
2268,1644,Bank Transfer,Electronics,Evening
2269,4143,Bank Transfer,Electronics,Morning
2270,1194,POS,Travel,Afternoon
2271,1977,POS,Electronics,Evening
2272,250,POS,Electronics,Morning
2273,571,POS,Clothing,Evening
2274,2009,Bank Transfer,Cash,Afternoon
2275,4911,POS,Clothing,Afternoon
2276,1939,POS,Groceries,Morning
2277,4910,Bank Transfer,Groceries,Night
2278,2789,Online,Dining,Night
2279,1685,Online,Cash,Afternoon
2280,2525,ATM Withdrawal,Travel,Night
2281,1687,Bank Transfer,Clothing,Afternoon
2282,4151,POS,Groceries,Night
2283,3756,ATM Withdrawal,Travel,Afternoon
2284,3366,Online,Electronics,Evening
2285,1661,Online,Travel,Morning
2286,4187,Bank Transfer,Clothing,Morning
2287,3851,POS,Cash,Night
2288,2451,POS,Dining,Morning
2289,4895,ATM Withdrawal,Clothing,Night
2290,604,Online,Cash,Afternoon
2291,2622,ATM Withdrawal,Groceries,Evening
2292,4106,ATM Withdrawal,Groceries,Morning
2293,1506,ATM Withdrawal,Travel,Evening
2294,3565,POS,Clothing,Morning
2295,4871,Online,Groceries,Afternoon
2296,4776,ATM Withdrawal,Electronics,Morning
2297,3368,Online,Electronics,Morning
2298,1611,Online,Dining,Afternoon
2299,924,ATM Withdrawal,Travel,Night
2300,1854,ATM Withdrawal,Groceries,Night
2301,2005,Bank Transfer,Dining,Afternoon
2302,104,POS,Electronics,Night
2303,502,Online,Dining,Morning
2304,3079,ATM Withdrawal,Dining,Evening
2305,159,ATM Withdrawal,Groceries,Afternoon
2306,1056,Online,Groceries,Morning
2307,2813,ATM Withdrawal,Groceries,Afternoon
2308,408,Bank Transfer,Travel,Evening
2309,4960,Online,Dining,Morning
2310,4486,ATM Withdrawal,Dining,Morning
2311,561,Online,Travel,Evening
2312,304,ATM Withdrawal,Electronics,Evening
2313,1153,ATM Withdrawal,Clothing,Night
2314,465,POS,Electronics,Morning
2315,1563,Online,Travel,Evening
2316,178,POS,Dining,Evening
2317,4815,ATM Withdrawal,Dining,Morning
2318,1956,Online,Groceries,Night
2319,263,Online,Groceries,Afternoon
2320,2386,Bank Transfer,Dining,Night
2321,1330,Bank Transfer,Dining,Evening
2322,2893,ATM Withdrawal,Cash,Afternoon
2323,3617,ATM Withdrawal,Groceries,Afternoon
2324,2135,ATM Withdrawal,Groceries,Night
2325,3506,ATM Withdrawal,Electronics,Afternoon
2326,2250,Bank Transfer,Dining,Evening
2327,410,Online,Dining,Morning
2328,2166,POS,Travel,Morning
2329,2386,Online,Electronics,Morning
2330,372,Online,Clothing,Night
2331,3948,Bank Transfer,Clothing,Morning
2332,3861,Online,Clothing,Morning
2333,3422,Online,Cash,Morning
2334,2316,ATM Withdrawal,Groceries,Afternoon
2335,94,POS,Clothing,Afternoon
2336,1834,Online,Travel,Afternoon
2337,3895,Online,Groceries,Evening
2338,317,POS,Groceries,Evening
2339,4367,ATM Withdrawal,Clothing,Evening
2340,1931,Bank Transfer,Groceries,Morning
2341,640,Bank Transfer,Electronics,Afternoon
2342,4785,Online,Electronics,Evening
2343,4970,ATM Withdrawal,Clothing,Night
2344,2381,Bank Transfer,Travel,Afternoon
2345,3310,Bank Transfer,Groceries,Morning
2346,3677,Bank Transfer,Dining,Afternoon
2347,736,Bank Transfer,Clothing,Morning
2348,1658,Bank Transfer,Cash,Evening
2349,4322,Online,Groceries,Morning
2350,1279,Bank Transfer,Clothing,Morning
2351,4553,Online,Clothing,Night
2352,328,POS,Travel,Afternoon
2353,3485,POS,Dining,Morning
2354,2788,ATM Withdrawal,Groceries,Night
2355,3068,Online,Clothing,Night
2356,4144,ATM Withdrawal,Clothing,Night
2357,1612,POS,Groceries,Evening
2358,2266,POS,Clothing,Evening
2359,839,POS,Clothing,Morning
2360,865,POS,Clothing,Afternoon
2361,2658,Bank Transfer,Electronics,Evening
2362,1868,POS,Electronics,Evening
2363,1112,Bank Transfer,Dining,Morning
2364,2491,Bank Transfer,Travel,Morning
2365,1830,ATM Withdrawal,Groceries,Evening
2366,4947,Bank Transfer,Travel,Morning
2367,2089,ATM Withdrawal,Travel,Night
2368,3168,Bank Transfer,Electronics,Morning
2369,2450,Bank Transfer,Dining,Night
2370,3694,POS,Travel,Evening
2371,1265,Online,Travel,Afternoon
2372,2967,Bank Transfer,Clothing,Night
2373,3661,Online,Groceries,Afternoon
2374,2249,Online,Dining,Evening
2375,1949,Online,Groceries,Morning
2376,279,Bank Transfer,Electronics,Night
2377,4840,Online,Travel,Night
2378,4074,Bank Transfer,Travel,Evening
2379,4989,POS,Cash,Evening
2380,3785,Bank Transfer,Groceries,Morning
2381,1122,ATM Withdrawal,Electronics,Afternoon
2382,658,POS,Cash,Night
2383,1189,Online,Cash,Afternoon
2384,2152,Online,Clothing,Night
2385,26,ATM Withdrawal,Cash,Night
2386,126,POS,Cash,Morning
2387,1555,ATM Withdrawal,Clothing,Night
2388,3161,Online,Travel,Night
2389,2703,Bank Transfer,Travel,Evening
2390,4099,Online,Dining,Morning
2391,1286,ATM Withdrawal,Cash,Evening
2392,3250,Bank Transfer,Groceries,Night
2393,4952,Bank Transfer,Travel,Morning
2394,3798,Online,Electronics,Night
2395,381,Bank Transfer,Groceries,Morning
2396,2817,POS,Dining,Afternoon
2397,165,Online,Cash,Afternoon
2398,2671,Online,Clothing,Morning
2399,474,POS,Dining,Night
2400,4888,Online,Groceries,Morning
2401,4909,ATM Withdrawal,Clothing,Night
2402,4325,ATM Withdrawal,Electronics,Afternoon
2403,1783,Online,Clothing,Night
2404,126,POS,Clothing,Evening
2405,2113,Bank Transfer,Electronics,Afternoon
2406,1384,POS,Travel,Evening
2407,3213,ATM Withdrawal,Travel,Afternoon
2408,4413,Online,Clothing,Afternoon
2409,3556,POS,Clothing,Evening
2410,3987,Bank Transfer,Dining,Morning
2411,4327,Bank Transfer,Travel,Night
2412,1206,Bank Transfer,Electronics,Afternoon
2413,3421,Bank Transfer,Cash,Night
2414,806,POS,Cash,Afternoon
2415,3902,Bank Transfer,Clothing,Night
2416,160,ATM Withdrawal,Clothing,Afternoon
2417,3259,Bank Transfer,Cash,Morning
2418,121,ATM Withdrawal,Dining,Afternoon
2419,692,POS,Dining,Morning
2420,1171,ATM Withdrawal,Dining,Afternoon
2421,2389,POS,Groceries,Night
2422,4998,Bank Transfer,Electronics,Evening
2423,170,Online,Groceries,Afternoon
2424,1435,ATM Withdrawal,Clothing,Afternoon
2425,3671,ATM Withdrawal,Dining,Morning
2426,287,Online,Dining,Night
2427,3401,POS,Cash,Morning
2428,1566,POS,Cash,Night
2429,4602,Bank Transfer,Dining,Night
2430,1925,ATM Withdrawal,Travel,Morning
2431,4760,POS,Cash,Evening
2432,3117,Bank Transfer,Electronics,Night
2433,312,POS,Groceries,Evening
2434,4543,Online,Electronics,Morning
2435,2783,Online,Cash,Evening
2436,4291,Online,Dining,Night
2437,3255,Bank Transfer,Clothing,Morning
2438,4778,ATM Withdrawal,Travel,Evening
2439,1010,Online,Cash,Morning
2440,3844,Online,Electronics,Morning
2441,4016,POS,Clothing,Evening
2442,4788,Online,Cash,Night
2443,1728,ATM Withdrawal,Dining,Night
2444,3840,Bank Transfer,Dining,Night
2445,3191,Online,Dining,Night
2446,2892,Bank Transfer,Dining,Afternoon
2447,1008,Bank Transfer,Cash,Morning
2448,294,ATM Withdrawal,Travel,Morning
2449,430,POS,Travel,Afternoon
2450,2170,POS,Electronics,Morning
2451,3075,Bank Transfer,Cash,Morning
2452,2285,Online,Dining,Evening
2453,1504,Bank Transfer,Travel,Afternoon
2454,3894,POS,Cash,Morning
2455,4633,Online,Clothing,Morning
2456,2553,POS,Travel,Afternoon
2457,4136,ATM Withdrawal,Travel,Afternoon
2458,4267,POS,Electronics,Evening
2459,1851,Online,Travel,Evening
2460,4810,Online,Clothing,Night
2461,731,Bank Transfer,Dining,Night
2462,1411,Online,Groceries,Evening
2463,455,ATM Withdrawal,Electronics,Morning
2464,2801,POS,Clothing,Afternoon
2465,4532,Bank Transfer,Electronics,Evening
2466,3777,Bank Transfer,Cash,Night
2467,2561,Online,Dining,Afternoon
2468,1977,ATM Withdrawal,Travel,Night
2469,3898,Bank Transfer,Cash,Morning
2470,4826,ATM Withdrawal,Travel,Morning
2471,2741,ATM Withdrawal,Clothing,Night
2472,2639,POS,Dining,Afternoon
2473,1974,POS,Groceries,Night
2474,1067,POS,Groceries,Afternoon
2475,4841,ATM Withdrawal,Travel,Evening
2476,767,POS,Cash,Night
2477,1805,Bank Transfer,Dining,Night
2478,1653,Bank Transfer,Dining,Afternoon
2479,4859,Online,Clothing,Evening
2480,33,ATM Withdrawal,Cash,Afternoon
2481,1249,POS,Groceries,Afternoon
2482,4160,Bank Transfer,Clothing,Night
2483,3107,ATM Withdrawal,Electronics,Night
2484,1314,ATM Withdrawal,Dining,Afternoon
2485,2552,POS,Groceries,Morning
2486,3722,ATM Withdrawal,Clothing,Morning
2487,3965,POS,Travel,Morning
2488,4539,POS,Electronics,Night
2489,4313,POS,Clothing,Night
2490,4238,ATM Withdrawal,Travel,Evening
2491,1315,ATM Withdrawal,Groceries,Night
2492,4474,POS,Groceries,Evening
2493,3184,ATM Withdrawal,Electronics,Night
2494,3638,POS,Travel,Morning
2495,791,Online,Dining,Morning
2496,576,ATM Withdrawal,Groceries,Afternoon
2497,4632,ATM Withdrawal,Cash,Afternoon
2498,4142,Online,Dining,Evening
2499,4283,Online,Dining,Evening
2500,648,Online,Clothing,Afternoon
2501,3710,POS,Clothing,Evening
2502,4177,POS,Groceries,Night
2503,2409,Bank Transfer,Dining,Morning
2504,2680,Online,Clothing,Afternoon
2505,1182,Bank Transfer,Travel,Afternoon
2506,1730,POS,Travel,Night
2507,114,ATM Withdrawal,Travel,Evening
2508,1692,Online,Travel,Afternoon
2509,4326,ATM Withdrawal,Dining,Afternoon
2510,1859,POS,Travel,Night
2511,872,Online,Dining,Morning
2512,3455,Bank Transfer,Groceries,Afternoon
2513,2575,Bank Transfer,Groceries,Afternoon
2514,308,POS,Travel,Night
2515,2918,ATM Withdrawal,Travel,Afternoon
2516,4147,POS,Travel,Afternoon
2517,780,ATM Withdrawal,Groceries,Morning
2518,2549,POS,Clothing,Afternoon
2519,1472,Bank Transfer,Groceries,Night
2520,3864,ATM Withdrawal,Travel,Morning
2521,3128,POS,Clothing,Morning
2522,2142,Online,Clothing,Morning
2523,1719,Bank Transfer,Electronics,Evening
2524,1000,Bank Transfer,Dining,Night
2525,720,Online,Travel,Evening
2526,4314,POS,Dining,Afternoon
2527,48,ATM Withdrawal,Electronics,Morning
2528,1285,Bank Transfer,Dining,Evening
2529,4867,POS,Travel,Afternoon
2530,1446,Online,Electronics,Evening
2531,3003,ATM Withdrawal,Dining,Morning
2532,1479,POS,Groceries,Afternoon
2533,2109,POS,Clothing,Morning
2534,383,Bank Transfer,Electronics,Morning
2535,4261,Bank Transfer,Groceries,Evening
2536,4035,ATM Withdrawal,Travel,Night
2537,1123,POS,Clothing,Afternoon
2538,2736,Online,Electronics,Afternoon
2539,2408,Online,Clothing,Night
2540,3244,ATM Withdrawal,Cash,Afternoon
2541,1275,POS,Cash,Evening
2542,3133,Bank Transfer,Electronics,Afternoon
2543,663,POS,Electronics,Evening
2544,4168,Bank Transfer,Dining,Afternoon
2545,518,Online,Clothing,Evening
2546,2349,ATM Withdrawal,Cash,Night
2547,3172,ATM Withdrawal,Cash,Afternoon
2548,1697,ATM Withdrawal,Clothing,Evening
2549,1398,Bank Transfer,Cash,Morning
2550,2207,Online,Groceries,Morning
2551,3921,Online,Cash,Morning
2552,2938,ATM Withdrawal,Cash,Afternoon
2553,4809,ATM Withdrawal,Travel,Evening
2554,525,Bank Transfer,Groceries,Morning
2555,3668,Bank Transfer,Dining,Afternoon
2556,1843,POS,Electronics,Evening
2557,39,Bank Transfer,Cash,Morning
2558,3224,POS,Dining,Morning
2559,335,ATM Withdrawal,Dining,Afternoon
2560,3776,Online,Groceries,Evening
2561,4121,Bank Transfer,Electronics,Afternoon
2562,120,Online,Travel,Morning
2563,116,Bank Transfer,Dining,Afternoon
2564,2436,Bank Transfer,Travel,Afternoon
2565,4388,POS,Electronics,Morning
2566,4374,Bank Transfer,Electronics,Morning
2567,2541,ATM Withdrawal,Groceries,Evening
2568,3154,Online,Clothing,Evening
2569,4703,Bank Transfer,Cash,Morning
2570,808,Online,Groceries,Morning
2571,2447,Online,Travel,Night
2572,2021,Online,Groceries,Night
2573,435,Bank Transfer,Electronics,Evening
2574,3054,POS,Dining,Afternoon
2575,3298,Online,Cash,Morning
2576,2924,Online,Cash,Morning
2577,1249,Bank Transfer,Clothing,Afternoon
2578,3401,Bank Transfer,Electronics,Evening
2579,4223,ATM Withdrawal,Cash,Night
2580,4007,ATM Withdrawal,Cash,Evening
2581,3016,POS,Dining,Afternoon
2582,3049,POS,Travel,Morning
2583,608,POS,Travel,Night
2584,2097,POS,Travel,Afternoon
2585,1194,Online,Groceries,Morning
2586,2760,Bank Transfer,Travel,Evening
2587,2594,ATM Withdrawal,Travel,Night
2588,4769,Online,Groceries,Morning
2589,3523,Bank Transfer,Dining,Morning
2590,4755,Bank Transfer,Electronics,Morning
2591,4064,Online,Cash,Morning
2592,4393,Online,Clothing,Morning
2593,3946,ATM Withdrawal,Cash,Evening
2594,1709,POS,Travel,Afternoon
2595,4517,POS,Travel,Night
2596,2585,ATM Withdrawal,Cash,Evening
2597,145,ATM Withdrawal,Cash,Night
2598,2035,POS,Travel,Morning
2599,3545,Online,Groceries,Afternoon
2600,4864,POS,Groceries,Morning
2601,2900,Bank Transfer,Groceries,Evening
2602,2767,Bank Transfer,Clothing,Evening
2603,3783,ATM Withdrawal,Electronics,Night
2604,390,POS,Travel,Morning
2605,1538,POS,Dining,Morning
2606,4911,Bank Transfer,Cash,Afternoon
2607,4581,POS,Cash,Afternoon
2608,3638,ATM Withdrawal,Travel,Morning
2609,858,ATM Withdrawal,Travel,Night
2610,4137,Bank Transfer,Travel,Afternoon
2611,1937,POS,Cash,Morning
2612,2175,POS,Travel,Morning
2613,4296,Bank Transfer,Cash,Morning
2614,2131,Online,Electronics,Evening
2615,4728,Online,Dining,Night
2616,2928,POS,Groceries,Morning
2617,4691,ATM Withdrawal,Dining,Morning
2618,482,Online,Travel,Morning
2619,1797,POS,Dining,Afternoon
2620,123,Online,Travel,Morning
2621,1346,Bank Transfer,Dining,Evening
2622,348,Online,Clothing,Evening
2623,2295,Online,Dining,Night
2624,1206,Bank Transfer,Groceries,Morning
2625,88,ATM Withdrawal,Groceries,Morning
2626,4569,POS,Dining,Morning
2627,2662,ATM Withdrawal,Cash,Evening
2628,4667,ATM Withdrawal,Cash,Afternoon
2629,4390,Online,Cash,Afternoon
2630,4328,POS,Dining,Morning
2631,2650,Online,Cash,Afternoon
2632,1266,Bank Transfer,Electronics,Night
2633,837,ATM Withdrawal,Dining,Evening
2634,2728,ATM Withdrawal,Groceries,Morning
2635,4933,Bank Transfer,Cash,Afternoon
2636,2820,POS,Clothing,Morning
2637,3395,ATM Withdrawal,Cash,Morning
2638,1975,ATM Withdrawal,Groceries,Evening
2639,2437,POS,Electronics,Evening
2640,2851,Online,Dining,Afternoon
2641,623,Bank Transfer,Cash,Evening
2642,572,POS,Clothing,Night
2643,4836,Bank Transfer,Groceries,Morning
2644,4362,Bank Transfer,Clothing,Evening
2645,194,ATM Withdrawal,Travel,Afternoon
2646,2202,POS,Groceries,Afternoon
2647,4075,Bank Transfer,Travel,Afternoon
2648,255,Online,Clothing,Night
2649,4096,Bank Transfer,Dining,Evening
2650,2244,ATM Withdrawal,Dining,Evening
2651,875,Online,Dining,Night
2652,2097,Online,Travel,Evening
2653,610,POS,Dining,Evening
2654,3043,Online,Electronics,Evening
2655,2066,POS,Groceries,Night
2656,2141,POS,Groceries,Night
2657,542,Online,Clothing,Afternoon
2658,2052,POS,Cash,Night
2659,367,POS,Travel,Night
2660,387,Online,Groceries,Afternoon
2661,2229,ATM Withdrawal,Travel,Night
2662,4498,Bank Transfer,Clothing,Evening
2663,4807,POS,Dining,Morning
2664,3317,POS,Cash,Afternoon
2665,2606,Online,Clothing,Morning
2666,793,Bank Transfer,Electronics,Morning
2667,2389,Bank Transfer,Dining,Afternoon
2668,3613,POS,Dining,Morning
2669,992,Online,Dining,Morning
2670,3952,ATM Withdrawal,Clothing,Afternoon
2671,2600,Bank Transfer,Electronics,Afternoon
2672,1052,ATM Withdrawal,Cash,Evening
2673,2548,Online,Travel,Afternoon
2674,871,ATM Withdrawal,Clothing,Night
2675,1886,Online,Groceries,Morning
2676,1845,POS,Groceries,Afternoon
2677,4218,ATM Withdrawal,Clothing,Evening
2678,3536,POS,Travel,Afternoon
2679,1695,POS,Groceries,Morning
2680,3411,Online,Travel,Afternoon
2681,1632,ATM Withdrawal,Dining,Morning
2682,4967,Bank Transfer,Clothing,Afternoon
2683,2667,ATM Withdrawal,Dining,Evening
