customer_id,salary_deposits,total_expenses,risk_level
1185,13305,11138,low
1186,13154,6328,medium
1187,8353,5494,medium
1188,6957,12056,low
1189,11145,6936,low
1190,11494,9176,low
1191,5381,8114,low
1192,7839,9494,medium
1193,4880,2215,high
1194,12379,8650,medium
1195,6887,10607,low
1196,2545,3983,low
1197,3927,8175,medium
1198,6152,2257,medium
1199,2004,2309,medium
1200,13673,6039,medium
1201,7533,6548,medium
1202,13445,11699,low
1203,11554,11917,low
1204,12012,12187,medium
1205,7378,11012,medium
1206,8233,10362,low
1207,4663,13307,low
1208,13130,1651,medium
1209,11465,5992,low
1210,5326,7211,low
1211,5659,6802,low
1212,13137,5247,medium
1213,13210,10915,medium
1214,3131,11359,low
1215,6763,8902,medium
1216,8737,11186,low
1217,12828,5181,low
1218,13221,12954,medium
1219,13211,3007,medium
1220,7092,3463,medium
1221,8022,3928,medium
1222,14569,12067,low
1223,5159,7994,low
1224,8159,4455,low
1225,9318,13993,low
1226,10445,4205,low
1227,7307,12097,high
1228,10520,4538,low
1229,12783,9744,medium
1230,13022,1213,medium
1231,5044,7760,medium
1232,11612,11580,low
1233,7636,7511,low
1234,13593,9379,low
1235,4892,9021,low
1236,7288,2246,medium
1237,7812,1707,low
1238,2654,10834,low
1239,7481,1284,medium
1240,2759,3196,low
1241,8782,12512,high
1242,3798,7573,high
1243,7159,5536,high
1244,13163,7627,low
1245,14703,4218,low
1246,13618,6275,high
1247,10446,8410,low
1248,7262,3193,high
1249,5823,1125,high
1250,3876,12926,medium
1251,12949,4208,low
1252,12816,7359,low
1253,8154,9453,medium
1254,9787,8192,low
1255,14313,12671,low
1256,13196,6898,low
1257,6516,7752,high
1258,5734,12221,medium
1259,11436,2055,low
1260,7972,12325,low
1261,8639,9367,medium
1262,7356,4687,high
1263,8380,8267,low
1264,3008,13880,low
1265,6314,536,medium
1266,11702,12528,medium
1267,12151,2287,medium
1268,4508,6783,medium
1269,6758,8560,low
1270,4682,11419,low
1271,9311,8565,medium
1272,2989,13989,medium
1273,14476,4380,medium
1274,10446,6432,high
1275,14355,10586,low
1276,6711,8828,low
1277,8479,6833,medium
1278,8964,6259,medium
1279,10075,6985,medium
1280,6452,11768,medium
1281,10447,5567,medium
1282,3007,12575,low
1283,8496,1161,low
1284,11947,8473,low
1285,9688,6886,low
1286,12763,10502,low
1287,5908,8387,low
1288,13189,914,low
1289,4803,7350,low
1290,13957,9034,low
1291,6379,3229,low
1292,13575,12142,low
1293,2098,12357,medium
1294,10388,12429,low
1295,12721,4397,low
1296,2877,12933,low
1297,3868,13110,medium
1298,4665,2669,low
1299,3388,2378,medium
1300,4415,12662,low
1301,10761,6954,low
1302,4637,13388,low
1303,9242,5070,low
1304,11257,11309,medium
1305,10613,2015,medium
1306,4883,1074,high
1307,3204,13134,low
1308,2544,3367,low
1309,14358,4044,medium
1310,13831,4977,low
1311,3223,571,low
1312,5172,11260,low
1313,10959,12129,low
1314,8450,3480,high
1315,13849,9809,medium
1316,8520,5992,medium
1317,2654,11078,low
1318,8821,12200,low
1319,4446,10051,low
1320,7892,5259,low
1321,10412,10207,low
1322,5666,8584,medium
1323,6277,539,medium
1324,6402,10074,low
1325,4569,10722,high
1326,7515,11313,medium
1327,11205,5873,low
1328,12243,13753,medium
1329,5985,8065,low
1330,10167,2400,low
1331,9448,2717,low
1332,6310,5296,medium
1333,5019,5106,low
1334,5681,1783,low
1335,11635,9275,low
1336,6196,13771,low
1337,13202,9150,medium
1338,2572,10957,medium
1339,11524,11358,low
1340,6753,1315,low
1341,9082,3011,low
1342,6002,746,low
1343,7629,5325,low
1344,13326,7016,low
1345,14278,916,low
1346,10417,13842,medium
1347,6200,13155,medium
1348,3997,7202,low
1349,10963,4217,low
1350,9422,607,medium
1351,6524,11323,low
1352,10625,9530,medium
1353,13291,5013,medium
1354,12921,13608,low
1355,5407,1921,low
1356,8731,13470,medium
1357,9795,7783,low
1358,13332,12604,low
1359,11057,755,high
1360,4793,7748,low
1361,9334,11519,low
1362,4911,9529,medium
1363,9952,3462,low
1364,4415,2782,low
1365,2250,9244,high
1366,6951,8872,low
1367,10098,12944,high
1368,13949,1977,high
1369,7289,9262,low
1370,10102,5452,low
1371,9257,6380,low
1372,14848,10419,low
1373,7565,13835,low
1374,8437,6092,medium
1375,11110,7591,low
1376,3173,1091,low
1377,13395,6777,medium
1378,10624,13208,low
1379,2835,2760,medium
1380,12438,11639,low
1381,4262,847,low
1382,11089,8857,medium
1383,13824,5532,medium
1384,6567,4943,medium
1385,5815,11588,medium
1386,2246,13185,medium
1387,4429,9274,low
1388,11182,7369,low
1389,13502,12198,medium
1390,11118,6196,medium
1391,13630,13095,high
1392,7287,3538,low
1393,4607,3345,low
1394,11266,8364,medium
1395,7930,11458,low
1396,6022,7109,high
1397,13991,12886,medium
1398,6784,1765,low
1399,8617,12945,medium
1400,5151,13341,medium
1401,13630,13438,low
1402,7580,11659,high
1403,9054,2774,low
1404,9706,2970,medium
1405,9619,10982,low
1406,6573,3077,medium
1407,5491,4160,low
1408,2706,1568,low
1409,8997,6091,high
1410,7233,6474,low
1411,13256,11428,low
1412,10945,5329,high
1413,7755,2450,high
1414,8960,8783,low
1415,10779,3593,medium
1416,3334,10911,low
1417,7588,5811,low
1418,3847,13888,low
1419,8851,1887,medium
1420,14126,4774,medium
1421,9211,2785,medium
1422,9865,3706,medium
1423,14118,3424,low
1424,5317,7545,low
1425,14212,8971,low
1426,13347,13830,low
1427,14494,2118,low
1428,12390,11479,medium
1429,8811,9062,low
1430,2164,6396,low
1431,9060,11875,low
1432,12190,12526,medium
1433,5057,8343,medium
1434,12276,10395,low
1435,6428,10960,low
1436,2402,7563,medium
1437,10605,8995,low
1438,10236,12466,medium
1439,8349,1848,medium
1440,6157,6056,low
1441,12659,5789,low
1442,2867,2922,high
1443,10210,4128,low
1444,2364,2928,low
1445,9467,3533,medium
1446,14024,6657,high
1447,8571,9360,high
1448,2579,9191,medium
1449,9674,8313,low
1450,10737,1914,low
1451,8468,7208,medium
1452,6150,9221,low
1453,5039,7135,low
1454,6137,4121,high
1455,14236,12148,low
1456,14518,5815,low
1457,2452,1254,low
1458,14153,2847,low
1459,8537,13602,low
1460,3381,1226,low
1461,10154,13518,low
1462,3467,5423,medium
1463,4738,3149,medium
1464,9572,10738,low
1465,11408,3315,high
1466,8747,9566,low
1467,2880,3779,low
1468,14006,3484,medium
1469,5149,10870,low
1470,10276,4307,high
1471,9892,8376,low
1472,6144,6599,high
1473,3168,1107,low
1474,14356,6669,medium
1475,5129,8290,low
1476,5645,6073,high
1477,4526,1134,low
1478,13059,13997,low
1479,5516,13271,high
1480,5367,11419,low
1481,9338,1574,medium
1482,12386,2414,medium
1483,5555,1088,low
1484,7111,3731,medium
1485,8752,6851,low
1486,2445,10996,high
1487,8364,4338,low
1488,5626,2473,low
1489,6016,5544,high
1490,5875,10747,medium
1491,7497,12172,low
1492,13529,10771,medium
1493,8238,6603,low
1494,2261,7183,low
1495,12040,6337,low
1496,6992,11744,low
1497,6025,13174,low
1498,12458,9943,low
1499,10283,7283,high
1500,6222,6094,high
1501,6175,12487,medium
1502,13501,4322,low
1503,11174,12994,low
1504,5443,3889,medium
1505,7011,6414,medium
1506,12725,2280,low
1507,2693,11296,high
1508,14312,4188,medium
1509,10347,13580,high
1510,13780,10416,medium
1511,3812,7711,medium
1512,7724,13793,low
1513,14306,11476,high
1514,3407,5537,medium
1515,10032,13953,low
1516,11408,12411,low
1517,3410,6819,low
1518,5497,10369,medium
1519,6372,9140,high
1520,9394,13379,low
1521,2551,581,low
1522,13586,6778,low
1523,11368,7499,high
1524,14926,1906,medium
1525,6332,7910,medium
1526,2997,1980,low
1527,6076,9771,low
1528,8099,4098,low
1529,7555,8493,low
1530,12923,13206,medium
1531,14129,4683,medium
1532,6052,4180,high
1533,7303,11395,high
1534,10118,8144,low
1535,8102,4810,medium
1536,7490,12448,high
1537,10564,2258,medium
1538,7616,3099,low
1539,4248,6116,low
1540,2848,6313,low
1541,12748,11242,high
1542,12514,4353,medium
1543,8354,11438,low
1544,10695,2792,medium
1545,10070,2001,medium
1546,13381,13096,low
1547,10894,8922,low
1548,5625,8050,medium
1549,2314,4750,low
1550,4376,9890,medium
1551,11232,7491,low
1552,6378,614,medium
1553,13182,10105,low
1554,10449,4906,low
1555,2574,9684,medium
1556,14861,2847,low
1557,11744,1541,low
1558,14710,7427,low
1559,7585,511,medium
1560,7492,8480,medium
1561,10949,8371,medium
1562,4810,6875,low
1563,10134,7598,low
1564,11296,4176,low
1565,7670,6609,low
1566,9715,13517,low
1567,8567,5897,low
1568,14716,3565,low
1569,5459,2536,high
1570,8117,3546,low
1571,5992,11042,low
1572,9837,1040,medium
1573,2203,11552,low
1574,4775,576,medium
1575,12524,3567,medium
1576,3992,523,high
1577,4243,5634,low
1578,10498,1175,high
1579,3687,7168,low
1580,6109,11086,low
1581,3860,4767,low
1582,12153,6488,high
1583,7176,12090,low
1584,2722,11451,low
1585,10971,8152,medium
1586,10720,9180,low
1587,6893,1985,low
1588,2343,4159,low
1589,13978,11927,low
1590,13874,2919,low
1591,7398,8240,low
1592,10400,7643,medium
1593,6736,3995,low
1594,5406,1256,low
1595,11503,11216,medium
1596,12491,12942,low
1597,13528,8948,medium
1598,12139,2279,low
1599,2919,13461,low
1600,7819,10807,low
1601,4044,6987,low
1602,2418,12040,low
1603,3749,13460,low
1604,13034,10164,low
1605,9378,758,low
1606,3099,4575,low
1607,5392,8998,low
1608,4772,8514,low
1609,12672,1618,low
1610,8784,8131,medium
1611,3545,3517,low
1612,3070,4841,medium
1613,8522,11472,medium
1614,3850,2158,low
1615,7053,8878,medium
1616,14390,2297,high
1617,4939,9616,low
1618,12095,1284,low
1619,9194,12136,medium
1620,7851,6191,medium
1621,8673,3696,low
1622,2678,10052,low
1623,2988,9032,low
1624,12667,1062,low
1625,11799,5246,medium
1626,13061,3499,low
1627,3502,1693,low
1628,3789,11802,medium
1629,7281,568,low
1630,7027,6179,low
1631,3425,2928,medium
1632,8654,6700,medium
1633,4440,5896,low
1634,12234,7493,low
1635,8856,13910,low
1636,9367,13703,low
1637,11470,4098,low
1638,4594,11064,low
1639,6689,13248,low
1640,4436,9535,low
1641,7517,1073,low
1642,13995,4714,low
1643,12397,8136,low
1644,11219,11288,low
1645,8310,13433,low
1646,5539,1978,medium
1647,5483,10765,low
1648,9371,10205,medium
1649,4241,6627,medium
1650,8378,13819,low
1651,4765,9660,low
1652,11365,7176,low
1653,13422,2696,low
1654,13542,10203,medium
1655,6911,13836,low
1656,2403,8666,low
1657,12917,9346,low
1658,5382,6550,low
1659,6163,11684,medium
1660,9630,5150,low
1661,2087,13212,low
1662,11350,8984,high
1663,7816,13996,medium
1664,7470,11293,low
1665,8276,5026,low
1666,7739,4912,low
1667,6273,13185,low
1668,13049,5943,low
1669,11573,10280,low
1670,8523,9287,low
1671,7003,3093,low
1672,10038,10815,medium
1673,14873,10635,low
1674,8606,9607,low
1675,4064,7352,low
1676,7315,7129,high
1677,12566,4369,low
1678,2317,11486,low
1679,3502,11770,high
1680,8130,8471,medium
1681,9419,9667,medium
1682,4042,9767,low
1683,6598,8322,low
1684,12214,3489,medium
1685,2118,7562,high
1686,2709,12159,low
1687,5557,5840,low
1688,14332,10143,low
1689,14601,4323,medium
1690,5250,13954,low
1691,10061,4432,low
1692,10609,10720,low
1693,4603,9054,low
1694,14046,2929,low
1695,3101,12324,low
1696,6421,7944,medium
1697,9857,11010,low
1698,13620,11777,low
1699,10177,11037,low
1700,8082,7647,low
1701,8658,8131,low
1702,4261,4098,low
1703,10021,4829,low
1704,14361,7218,low
1705,13826,10423,low
1706,2508,8718,high
1707,4379,592,low
1708,13356,11356,medium
1709,10879,9000,low
1710,6752,551,medium
1711,11484,818,medium
1712,7495,10684,low
1713,14097,12968,low
1714,13267,6188,low
1715,5209,12583,low
1716,9398,7518,high
1717,8743,7710,medium
1718,7648,13434,high
1719,7171,4456,low
1720,9890,6557,medium
1721,2324,11384,high
1722,12185,11710,low
1723,14168,10716,low
1724,12962,7375,medium
1725,14564,4931,low
1726,12775,2025,medium
1727,5557,13777,low
1728,5587,7543,medium
1729,2151,1778,low
1730,2954,9205,low
1731,6354,6625,low
1732,12563,8374,medium
1733,9160,13029,medium
1734,11383,10425,low
1735,2687,12062,low
1736,10501,7400,medium
1737,11694,12613,low
1738,5127,3000,medium
1739,8763,3964,low
1740,14760,2759,low
1741,13559,13455,low
1742,5395,13381,low
1743,11005,7996,medium
1744,2845,3159,low
1745,3164,755,low
1746,14954,2002,medium
1747,7904,5156,low
1748,11959,10802,low
1749,7360,5930,high
1750,2354,9098,medium
1751,3872,11541,low
1752,4024,3676,high
1753,4817,2360,medium
1754,5832,6658,low
1755,14467,6306,low
1756,10257,4854,medium
1757,14458,1222,medium
1758,14282,8079,low
1759,12713,9974,medium
1760,4581,1113,medium
1761,11582,3831,low
1762,11322,6290,low
1763,4486,3616,low
1764,11026,10670,medium
1765,10418,9504,low
1766,13707,10478,low
1767,14729,830,medium
1768,4443,2712,medium
1769,10919,9908,low
1770,13878,5993,medium
1771,13814,7732,low
1772,3036,13174,medium
1773,12024,6114,low
1774,12932,6413,low
1775,10684,6413,medium
1776,9435,12029,low
1777,3548,11067,low
1778,11335,6111,medium
1779,7065,9932,medium
1780,8496,819,medium
1781,8183,8585,medium
1782,5957,13186,low
1783,5407,10606,low
1784,2639,4700,low
1785,2172,5291,low
1786,7666,829,high
1787,6354,9351,low
1788,5959,12380,low
1789,10708,11810,low
1790,10714,7242,high
1791,12109,5416,low
1792,4886,10664,low
1793,4164,2293,low
1794,12121,6957,medium
1795,5945,11910,low
1796,7235,8625,medium
1797,12401,13249,high
1798,9746,6203,low
1799,13975,11225,medium
1800,4590,11149,high
1801,9754,6670,medium
1802,6934,11792,low
1803,6076,13058,low
1804,7185,11425,medium
1805,3093,7144,low
1806,5880,7920,medium
1807,12686,13172,high
1808,8559,4655,high
1809,12771,13918,low
1810,12680,8911,low
1811,4785,11510,high
1812,8065,10598,medium
1813,8539,3111,low
1814,12950,6191,high
1815,3574,3093,medium
1816,7676,595,low
1817,12565,9680,low
1818,10060,9804,low
1819,5990,6541,low
1820,7210,10970,low
1821,6845,5563,medium
1822,11285,8937,low
1823,3189,10850,low
1824,4689,13021,low
1825,6095,3849,low
1826,3875,8144,high
1827,9768,7060,low
1828,5406,11417,low
1829,11979,5747,medium
1830,5932,5856,low
1831,11799,4577,low
1832,13940,5398,low
1833,10240,11358,low
1834,7408,11891,low
1835,5861,11446,low
1836,9406,1917,low
1837,12372,9346,high
1838,13238,11134,low
1839,4833,610,low
1840,7285,8781,medium
1841,11589,9454,low
1842,9645,7891,medium
1843,14018,11864,low
1844,14766,10871,high
1845,11023,5632,low
1846,12889,3004,low
1847,6777,10156,low
1848,4735,8789,high
1849,10273,5739,low
1850,10278,792,low
1851,8368,10531,low
1852,12255,2234,medium
1853,2821,5620,low
1854,9525,11311,medium
1855,2162,6893,low
1856,9777,13439,low
1857,13931,2696,low
1858,12589,3966,low
1859,3932,2406,low
1860,12920,2221,low
1861,5535,12383,medium
1862,7956,13855,low
1863,5446,2316,low
1864,4790,8944,low
1865,4707,4727,low
1866,9959,12211,low
1867,5933,10599,low
1868,5385,10602,low
1869,8636,11213,medium
1870,2922,6275,high
1871,10089,4349,low
1872,12367,5728,low
1873,11774,7349,medium
1874,2564,1558,low
1875,5258,12230,low
1876,12789,2822,low
1877,4500,8878,medium
1878,6566,1448,medium
1879,11179,8679,low
1880,8881,10982,low
1881,5636,4859,low
1882,8030,13309,medium
1883,2223,6160,low
1884,8297,13570,low
1885,2350,7754,medium
1886,9314,13322,low
1887,3928,8901,medium
1888,9743,2593,low
1889,10540,12230,low
1890,14469,2063,low
1891,6732,8717,medium
1892,3017,674,medium
1893,4226,1834,medium
1894,9206,821,low
1895,9170,6198,medium
1896,8207,13946,low
1897,14316,12842,low
1898,4419,12739,medium
1899,8240,11919,low
1900,3893,10564,low
1901,7322,6104,low
1902,13232,7242,low
1903,12260,10759,low
1904,9718,7936,low
1905,8878,9024,low
1906,3125,6174,medium
1907,5117,5502,medium
1908,6161,11683,low
1909,6042,1410,low
1910,6433,13188,low
1911,12362,1449,low
1912,10638,5925,low
1913,4658,10767,medium
1914,13554,3014,low
1915,12910,12023,low
1916,5483,8201,low
1917,4944,11721,low
1918,14568,600,high
1919,9210,5146,medium
1920,9653,7445,low
1921,10787,2900,medium
1922,3986,12063,low
1923,12942,6301,medium
1924,3074,2843,medium
1925,14161,852,low
1926,6305,3455,low
1927,14413,1518,low
1928,14779,1679,low
1929,13772,5693,medium
1930,5007,4036,low
1931,2969,12342,low
1932,10772,3002,medium
1933,4824,4319,high
1934,14193,7355,low
1935,3211,1479,low
1936,2229,13526,low
1937,6284,1476,low
1938,5185,10063,high
1939,2501,2780,low
1940,12324,6397,low
1941,2048,13740,low
1942,5566,13268,low
1943,5055,607,medium
1944,10880,9664,medium
1945,2386,2126,low
1946,2969,9395,low
1947,13652,6729,low
1948,11197,7377,high
1949,7820,1374,medium
1950,5052,6043,low
1951,13609,4309,medium
1952,9397,11103,medium
1953,4302,2607,low
1954,4283,12245,high
1955,11799,9965,low
1956,6366,1059,low
1957,2122,8808,low
1958,8799,5469,low
1959,11472,13755,low
1960,5727,3546,medium
1961,10450,543,low
1962,11139,1008,medium
1963,6958,6607,low
1964,2524,13976,low
1965,11079,3939,low
1966,10399,4428,low
1967,13574,5911,medium
1968,12986,13636,low
1969,2148,1416,low
1970,10001,11637,low
1971,2437,1298,medium
1972,12394,5471,high
1973,5749,2260,medium
1974,13353,11025,low
1975,14093,3775,low
1976,10186,1318,low
1977,6453,10860,low
1978,13437,5540,low
1979,7336,12427,low
1980,6551,3565,low
1981,4823,3759,low
1982,7728,1406,medium
1983,14916,12800,low
1984,13462,1102,low
1985,10677,4795,medium
1986,10391,11325,low
1987,14658,10483,medium
1988,3982,4027,low
1989,8996,5043,low
1990,11663,2311,medium
1991,14535,12603,medium
1992,4311,9532,medium
1993,9225,11834,low
1994,13565,13377,low
1995,12270,8463,low
1996,11713,5749,low
1997,2604,10782,high
1998,10175,5115,low
1999,14040,9728,high
2000,13534,9416,low
2001,7785,7266,low
2002,11609,9679,low
2003,6597,1302,medium
2004,9759,3082,medium
2005,14067,6945,medium
2006,9532,4337,medium
2007,13125,9218,medium
2008,10740,2165,medium
2009,2838,9830,low
2010,5815,9151,low
2011,2847,7475,low
2012,6709,3052,high
2013,6507,7975,high
2014,8575,13719,low
2015,6773,13112,medium
2016,14446,13366,high
2017,6468,3308,low
2018,12464,11590,low
2019,7192,6133,high
2020,5320,11935,low
2021,12750,12760,medium
2022,6698,6596,low
2023,6311,11023,high
2024,12188,13262,high
2025,5673,13865,high
2026,3564,12377,low
2027,14210,9323,medium
2028,3840,13490,medium
2029,8058,2956,low
2030,9131,9673,medium
2031,13483,5923,low
2032,13079,13346,low
2033,2726,4817,low
2034,11436,2056,low
2035,13652,2705,low
2036,8697,13135,medium
2037,13910,13970,low
2038,11257,13676,medium
2039,14963,4455,low
2040,2282,9613,low
2041,3081,7305,low
2042,5885,904,medium
2043,4881,13464,low
2044,12776,13376,medium
2045,4970,2120,medium
2046,11344,3452,medium
2047,8985,8580,low
2048,13689,3618,low
2049,2947,7880,medium
2050,6760,7130,low
2051,11909,10286,medium
2052,2066,1065,low
2053,10828,5299,high
2054,10505,8170,medium
2055,13589,3368,high
2056,2564,9549,low
2057,11793,9976,medium
2058,11017,9276,low
2059,5670,4827,low
2060,11217,6913,medium
2061,4251,8114,medium
2062,14949,1745,high
2063,2804,8743,medium
2064,12643,10855,low
2065,6631,1037,low
2066,11583,1040,medium
2067,3235,13830,low
2068,8720,1314,low
2069,14224,1915,low
2070,13472,11530,low
2071,8906,2152,low
2072,8016,11357,low
2073,14915,13206,low
2074,5549,4562,low
2075,14392,2856,high
2076,9938,4310,low
2077,6141,9555,low
2078,8966,685,medium
2079,11546,13048,low
2080,7335,2051,high
2081,7077,10899,medium
2082,7611,7513,low
2083,12028,1261,low
2084,10089,13011,medium
2085,4892,9971,high
2086,12688,12967,low
2087,12775,6663,medium
2088,12750,13419,low
2089,7577,8135,high
2090,5618,12386,low
2091,3559,3781,high
2092,8683,2036,medium
2093,3507,6701,medium
2094,14263,3664,low
2095,4063,3270,low
2096,5642,10655,low
2097,4000,7899,low
2098,3294,4345,low
2099,6065,3935,medium
2100,12944,5210,low
2101,10014,1061,low
2102,11945,11113,high
2103,14402,5217,medium
2104,3603,8123,high
2105,3322,10827,high
2106,7956,7687,low
2107,4441,13801,low
2108,3098,10753,medium
2109,7073,2680,medium
2110,11697,2460,low
2111,11318,4379,medium
2112,10488,5653,low
2113,13241,7535,low
2114,12417,11971,low
2115,14546,12576,low
2116,5787,3770,low
2117,4096,5187,low
2118,13801,1082,medium
2119,4208,10305,low
2120,7988,9793,low
2121,2175,788,medium
2122,9169,6164,high
2123,8014,8479,medium
2124,12694,4359,medium
2125,14191,3560,medium
2126,3667,11618,low
2127,14563,12794,low
2128,12737,1683,low
2129,10867,4835,low
2130,3823,1946,low
2131,7147,7179,medium
2132,3356,10441,low
2133,5072,6713,low
2134,5259,2403,low
2135,8199,11867,medium
2136,2546,8394,low
2137,7231,9769,medium
2138,9965,2877,low
2139,4083,1347,low
2140,4040,7870,low
2141,6534,11568,medium
2142,3752,6841,low
2143,11807,1739,medium
2144,3849,6100,low
2145,4642,10024,low
2146,3600,12198,medium
2147,13588,11071,medium
2148,6402,5291,medium
2149,13797,12814,medium
2150,5799,11929,medium
2151,2618,2865,medium
2152,3132,11104,medium
2153,7491,11866,medium
2154,7795,5555,medium
2155,12307,6122,medium
2156,12531,872,medium
2157,12931,8283,low
2158,14468,2449,medium
2159,9633,744,medium
2160,3487,10532,low
2161,9848,8295,medium
2162,7009,6272,low
2163,11749,12119,low
2164,4113,624,medium
2165,3044,13324,low
2166,4431,11445,medium
2167,9979,2419,medium
2168,3582,10327,low
2169,3308,10117,low
2170,6917,10232,low
2171,10793,1030,medium
2172,3620,8349,high
2173,9503,7429,medium
2174,6766,4849,low
2175,7362,11795,medium
2176,7192,5256,low
2177,8622,2301,medium
2178,8093,5656,low
2179,8704,8356,medium
2180,2100,5961,low
2181,8657,9728,high
2182,7875,5802,low
2183,6271,12420,medium
2184,2237,7932,high
2185,9226,12703,low
2186,10032,6689,high
2187,7218,12155,medium
2188,6025,1642,low
2189,13110,7576,low
2190,8073,8114,medium
2191,4542,10447,low
2192,12195,5340,low
2193,3537,2129,low
2194,2754,5562,medium
2195,13560,1262,low
2196,12450,7405,medium
2197,9396,5389,high
2198,13857,5339,high
2199,9823,13857,medium
2200,7507,4457,low
2201,6235,1057,medium
2202,2540,5121,low
2203,7510,1339,low
2204,10461,8694,low
2205,9926,9743,low
2206,7131,10096,medium
2207,13652,8848,medium
2208,13600,7498,low
2209,10697,10629,low
2210,3129,1010,high
2211,12271,12096,low
2212,5145,13474,low
2213,13434,1637,low
2214,10553,6106,medium
2215,5720,12606,medium
2216,11648,12013,low
2217,6067,5166,low
2218,6195,9406,medium
2219,11873,5934,medium
2220,11244,10978,low
2221,9281,6946,high
2222,4509,3154,low
2223,7016,1490,low
2224,8533,8320,high
2225,6727,13121,low
2226,2681,2660,medium
2227,5932,6240,low
2228,12321,4957,low
2229,7560,10836,high
2230,6016,2563,low
2231,9339,11295,medium
2232,13494,2477,low
2233,2719,9067,low
2234,2074,9433,low
2235,11485,13177,medium
2236,12114,3167,low
2237,6157,9932,medium
2238,10511,12162,low
